ID,latitude,longitude
1,38.90199,-77.04416
2,38.9019,-77.04261
3,38.90216,-77.04107
4,38.902,-77.0389
5,38.89965,-77.0409
6,38.90075,-77.04055
7,38.90187,-77.03763
8,38.90097,-77.03751
9,38.90179,-77.03521
10,38.90309,-77.03761
